#twotheta, yobs, ycal, bkg, diff
2.000000e+001,4.200000e+001,4.162983e+001,4.157184e+001,3.701654e-001
2.002000e+001,3.500000e+001,4.132729e+001,4.126913e+001,-6.327285e+000
2.004000e+001,3.600000e+001,4.102960e+001,4.097129e+001,-5.029600e+000
2.006000e+001,3.200000e+001,4.073675e+001,4.067829e+001,-8.736752e+000
2.008000e+001,3.300000e+001,4.044872e+001,4.039010e+001,-7.448715e+000
2.010000e+001,3.700000e+001,4.016546e+001,4.010669e+001,-3.165463e+000
2.012000e+001,2.700000e+001,3.988697e+001,3.982803e+001,-1.288697e+001
2.014000e+001,4.200000e+001,3.961320e+001,3.955411e+001,2.386798e+000
2.016000e+001,3.200000e+001,3.934414e+001,3.928489e+001,-7.344141e+000
2.018000e+001,3.200000e+001,3.907976e+001,3.902035e+001,-7.079757e+000
2.020000e+001,3.700000e+001,3.882002e+001,3.876045e+001,-1.820024e+000
2.022000e+001,3.500000e+001,3.856491e+001,3.850518e+001,-3.564913e+000
2.024000e+001,2.900000e+001,3.831440e+001,3.825451e+001,-9.314400e+000
2.026000e+001,3.200000e+001,3.806846e+001,3.800840e+001,-6.068457e+000
2.028000e+001,2.600000e+001,3.782706e+001,3.776684e+001,-1.182706e+001
2.030000e+001,3.400000e+001,3.759017e+001,3.752979e+001,-3.590174e+000
2.032000e+001,4.200000e+001,3.735778e+001,3.729723e+001,4.642219e+000
2.034000e+001,4.200000e+001,3.712985e+001,3.706914e+001,4.870150e+000
2.036000e+001,3.900000e+001,3.690636e+001,3.684548e+001,2.093643e+000
2.038000e+001,3.000000e+001,3.668727e+001,3.662623e+001,-6.687272e+000
2.040000e+001,4.200000e+001,3.647257e+001,3.641136e+001,5.527429e+000
2.042000e+001,4.000000e+001,3.626223e+001,3.620085e+001,3.737774e+000
2.044000e+001,3.100000e+001,3.605621e+001,3.599466e+001,-5.056210e+000
2.046000e+001,2.400000e+001,3.585450e+001,3.579278e+001,-1.185450e+001
2.048000e+001,4.200000e+001,3.565706e+001,3.559517e+001,6.342941e+000
2.050000e+001,2.900000e+001,3.546387e+001,3.540181e+001,-6.463871e+000
2.052000e+001,3.000000e+001,3.527491e+001,3.521268e+001,-5.274905e+000
2.054000e+001,4.600000e+001,3.509014e+001,3.502773e+001,1.090986e+001
2.056000e+001,2.800000e+001,3.490953e+001,3.484696e+001,-6.909534e+000
2.058000e+001,3.200000e+001,3.473308e+001,3.467033e+001,-2.733075e+000
2.060000e+001,3.800000e+001,3.456073e+001,3.449781e+001,3.439268e+000
2.062000e+001,4.700000e+001,3.439248e+001,3.432938e+001,1.260752e+001
2.064000e+001,3.700000e+001,3.422828e+001,3.416501e+001,2.771716e+000
2.066000e+001,3.700000e+001,3.406813e+001,3.400468e+001,2.931874e+000
2.068000e+001,3.600000e+001,3.391198e+001,3.384835e+001,2.088023e+000
2.070000e+001,3.200000e+001,3.375981e+001,3.369600e+001,-1.759809e+000
2.072000e+001,4.000000e+001,3.361160e+001,3.354761e+001,6.388403e+000
2.074000e+001,3.800000e+001,3.346731e+001,3.340315e+001,4.532688e+000
2.076000e+001,3.700000e+001,3.332693e+001,3.326259e+001,3.673071e+000
